City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
1,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
7,Cockburn Town,TC,77.14,clear sky,21.4612,-71.1419,Osprey Beach Hotel
8,Mecca,SA,79.0,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
10,Mayo,US,77.88,clear sky,38.8876,-76.5119,Resorts Resource Group International
15,Isangel,VU,84.02,few clouds,-19.55,169.2667,Tanna Lodge
22,Nizwa,OM,86.65,overcast clouds,22.9333,57.5333,Orient Apartments
23,Atuona,PF,79.41,scattered clouds,-9.8,-139.0333,Villa Enata
24,Rikitea,PF,78.4,light rain,-23.1203,-134.9692,People ThankYou
25,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
28,Sur,OM,88.05,clear sky,22.5667,59.5289,Sur Plaza Hotel
29,Puerto Ayora,EC,76.53,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Buala,SB,85.91,light rain,-8.145,159.5921,Maringe Lagoon Lodge
41,Port Blair,IN,87.84,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
43,Kapaa,US,75.47,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Nhulunbuy,AU,88.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
64,Muisne,EC,76.23,overcast clouds,0.6,-80.0333,Quinta Samay
71,Majene,ID,84.47,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
80,Kirakira,SB,85.23,few clouds,-10.4544,161.9205,SanBiz Lodge
84,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
89,Malakal,SS,82.71,few clouds,9.5334,31.6605,Nile Palace Hotel
90,Arraial Do Cabo,BR,77.07,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
92,Honiara,SB,85.77,few clouds,-9.4333,159.95,Heritage Park Hotel
94,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
97,Port-Gentil,GA,79.93,light rain,-0.7193,8.7815,Fengshui Residence
98,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
99,Namibe,AO,76.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
101,Hithadhoo,MV,83.84,overcast clouds,-0.6,73.0833,Scoop Guest House
103,Puerto Carreno,CO,82.96,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
106,Makurdi,NG,79.14,light rain,7.7411,8.5121,Doo Palace Hotel
109,Chengam,IN,84.54,overcast clouds,12.3,78.8,Chennai Restuarant Ac Bakery
114,Sinnamary,GF,76.66,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
117,Dicabisagan,PH,84.34,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
120,Merauke,ID,85.42,overcast clouds,-8.4667,140.3333,
127,Ca Mau,VN,89.64,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
140,Salinopolis,BR,78.62,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
142,Caravelas,BR,75.65,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
147,Katobu,ID,78.8,light rain,-4.9408,122.5276,La Ode Husein
148,Bandarbeyla,SO,79.29,clear sky,9.4942,50.8122,JABIR HOTEL
152,Ambulu,ID,85.69,clear sky,-8.345,113.6058,Hotel Ambulu Jember
153,Mareeba,AU,80.65,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
156,Butaritari,KI,81.66,light rain,3.0707,172.7902,Isles Sunset Lodge
157,Broken Hill,AU,76.71,broken clouds,-31.95,141.4333,Royal Exchange Hotel
166,Bowen,AU,82.2,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
170,Acapulco,MX,78.01,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
176,Grand Gaube,MU,78.39,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
178,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
179,Sabha,LY,75.4,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
182,Las Lomas,PA,78.21,few clouds,8.4333,-82.4,Hotel Castilla
183,Avarua,CK,84.25,clear sky,-21.2078,-159.775,Paradise Inn
188,Bengkulu,ID,83.93,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
191,Poum,NC,78.55,clear sky,-20.2333,164.0167,
192,Sungaipenuh,ID,76.69,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
193,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
203,Kontagora,NG,80.49,overcast clouds,10.3999,5.4695,Queens Guest Inn
208,Cap Malheureux,MU,78.48,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
215,Yele,CM,77.45,overcast clouds,10.7323,13.5891,
224,San Patricio,US,80.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
226,Venice,US,77.99,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
228,The Valley,AI,78.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
238,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
239,Kahului,US,79.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
240,Sao Joao Da Barra,BR,77.41,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
