City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Padang,ID,-0.9492,100.3543,86.05,64,62,3.8,broken clouds,2022-04-14 02:57:07
1,Geraldton,AU,-28.7667,114.6,75.61,57,0,20.71,clear sky,2022-04-14 02:57:07
2,Port Hardy,CA,50.6996,-127.4199,44.6,70,75,11.5,broken clouds,2022-04-14 02:53:17
3,Dikson,RU,73.5069,80.5464,21.38,96,98,8.5,overcast clouds,2022-04-14 02:57:08
4,Hobart,AU,-42.8794,147.3294,66.22,57,75,8.05,broken clouds,2022-04-14 02:57:08
5,Upernavik,GL,72.7868,-56.1549,-11.69,100,93,6.51,overcast clouds,2022-04-14 02:57:09
6,Bredasdorp,ZA,-34.5322,20.0403,62.65,82,100,3.49,overcast clouds,2022-04-14 02:57:09
7,Cockburn Town,TC,21.4612,-71.1419,77.14,80,9,26.42,clear sky,2022-04-14 02:57:10
8,Mecca,SA,21.4267,39.8261,79.0,45,26,2.06,scattered clouds,2022-04-14 02:56:56
9,Jamestown,US,42.097,-79.2353,66.18,45,99,12.48,overcast clouds,2022-04-14 02:57:10
10,Mayo,US,38.8876,-76.5119,77.88,64,0,9.22,clear sky,2022-04-14 02:54:15
11,Port Alfred,ZA,-33.5906,26.891,64.96,87,69,11.88,broken clouds,2022-04-14 02:54:12
12,Saint-Philippe,RE,-21.3585,55.7679,72.99,89,47,14.65,light rain,2022-04-14 02:57:11
13,Nybro,SE,56.7446,15.9071,42.04,97,100,2.08,light rain,2022-04-14 02:57:11
14,Punta Arenas,CL,-53.15,-70.9167,51.91,76,20,35.68,few clouds,2022-04-14 02:54:10
15,Isangel,VU,-19.55,169.2667,84.02,71,12,6.78,few clouds,2022-04-14 02:57:12
16,Pangody,RU,65.85,74.4859,32.68,97,100,7.54,overcast clouds,2022-04-14 02:57:12
17,Caluquembe,AO,-13.7833,14.6833,58.8,96,100,2.59,overcast clouds,2022-04-14 02:57:13
18,La Palma,US,33.8464,-118.0467,65.71,48,20,8.05,few clouds,2022-04-14 02:57:13
19,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,71,20,13.8,few clouds,2022-04-14 02:57:13
20,Bay City,US,43.5945,-83.8889,64.51,94,100,14.97,overcast clouds,2022-04-14 02:57:14
21,Mataura,NZ,-46.1927,168.8643,60.48,53,45,4.72,scattered clouds,2022-04-14 02:52:47
22,Nizwa,OM,22.9333,57.5333,86.65,14,86,1.99,overcast clouds,2022-04-14 02:57:14
23,Atuona,PF,-9.8,-139.0333,79.41,77,47,17.27,scattered clouds,2022-04-14 02:57:15
24,Rikitea,PF,-23.1203,-134.9692,78.4,70,10,19.1,light rain,2022-04-14 02:57:15
25,Vaini,TO,-21.2,-175.2,82.56,94,40,10.36,scattered clouds,2022-04-14 02:57:16
26,Hami,CN,42.8,93.45,55.35,16,0,24.32,clear sky,2022-04-14 02:57:16
27,Qaanaaq,GL,77.484,-69.3632,-4.38,93,100,4.25,overcast clouds,2022-04-14 02:57:16
28,Sur,OM,22.5667,59.5289,88.05,30,6,4.03,clear sky,2022-04-14 02:57:17
29,Puerto Ayora,EC,-0.7393,-90.3518,76.53,90,88,6.62,overcast clouds,2022-04-14 02:57:17
30,Gay,RU,51.4666,58.4552,52.32,75,94,11.83,overcast clouds,2022-04-14 02:57:18
31,Buala,SB,-8.145,159.5921,85.91,67,26,8.05,light rain,2022-04-14 02:57:18
32,Avera,US,33.194,-82.5271,69.55,77,42,11.72,scattered clouds,2022-04-14 02:57:18
33,Haines Junction,CA,60.7522,-137.5108,37.35,18,19,3.44,few clouds,2022-04-14 02:57:19
34,Tifton,US,31.4505,-83.5085,67.96,79,0,3.44,clear sky,2022-04-14 02:57:19
35,Tiksi,RU,71.6872,128.8694,2.34,93,100,8.01,overcast clouds,2022-04-14 02:57:20
36,Ilebo,CD,-4.3167,20.5833,72.32,95,100,1.39,overcast clouds,2022-04-14 02:57:20
37,Ushuaia,AR,-54.8,-68.3,49.66,76,40,29.93,scattered clouds,2022-04-14 02:53:19
38,Chapais,CA,49.7834,-74.8492,33.58,90,16,7.54,few clouds,2022-04-14 02:57:21
39,Fortuna,US,40.5982,-124.1573,47.08,90,100,19.57,overcast clouds,2022-04-14 02:57:21
40,Nikolskoye,RU,59.7035,30.7861,35.8,91,92,2.93,overcast clouds,2022-04-14 02:57:21
41,Port Blair,IN,11.6667,92.75,87.84,66,20,10.36,few clouds,2022-04-14 02:57:22
42,Casablanca,MA,33.5928,-7.6192,53.82,82,4,5.5,clear sky,2022-04-14 02:53:13
43,Kapaa,US,22.0752,-159.319,75.47,83,85,5.99,overcast clouds,2022-04-14 02:56:25
44,Lavrentiya,RU,65.5833,-171.0,26.62,86,100,12.62,overcast clouds,2022-04-14 02:57:22
45,Poopo,BO,-18.3667,-66.9667,44.53,25,0,2.44,clear sky,2022-04-14 02:57:23
46,Port Elizabeth,ZA,-33.918,25.5701,64.69,89,20,11.5,few clouds,2022-04-14 02:57:23
47,Muros,ES,42.7762,-9.0603,46.83,93,100,4.7,overcast clouds,2022-04-14 02:57:24
48,Lata,PT,40.1629,-8.3327,48.88,98,100,2.28,overcast clouds,2022-04-14 02:57:24
49,Saint Anthony,US,45.0205,-93.218,35.65,57,0,12.66,clear sky,2022-04-14 02:53:08
50,Gat,IL,31.61,34.7642,55.4,70,1,4.16,clear sky,2022-04-14 02:57:25
51,Rawah,IQ,34.4816,41.9093,55.49,19,100,7.07,overcast clouds,2022-04-14 02:57:25
52,Tilichiki,RU,60.4667,166.1,23.79,85,100,8.66,overcast clouds,2022-04-14 02:57:26
53,Chauk,MM,20.8833,94.8167,91.36,43,10,16.28,clear sky,2022-04-14 02:57:26
54,Esperance,AU,-33.8667,121.9,64.24,74,98,13.96,overcast clouds,2022-04-14 02:57:26
55,Xuddur,SO,4.1213,43.8894,73.22,88,53,9.98,broken clouds,2022-04-14 02:57:27
56,Konevo,RU,62.1215,39.3192,29.32,93,94,3.15,overcast clouds,2022-04-14 02:57:27
57,Smithers,CA,54.7804,-127.1743,34.12,27,20,6.91,few clouds,2022-04-14 02:57:28
58,Seoul,KR,37.5683,126.9778,54.84,60,100,14.97,overcast clouds,2022-04-14 02:57:07
59,Chiredzi,ZW,-21.05,31.6667,68.79,79,26,2.91,scattered clouds,2022-04-14 02:57:28
60,Nhulunbuy,AU,-12.2333,136.7667,88.41,66,75,14.97,broken clouds,2022-04-14 02:57:29
61,Taltal,CL,-25.4,-70.4833,60.46,80,23,1.28,few clouds,2022-04-14 02:57:29
62,Port Lincoln,AU,-34.7333,135.8667,70.38,67,100,13.18,light rain,2022-04-14 02:55:52
63,Serowe,BW,-22.3833,26.7167,65.66,55,82,3.29,broken clouds,2022-04-14 02:57:30
64,Muisne,EC,0.6,-80.0333,76.23,88,100,5.57,overcast clouds,2022-04-14 02:57:30
65,Hermanus,ZA,-34.4187,19.2345,61.81,87,100,8.08,light rain,2022-04-14 02:54:27
66,Nuuk,GL,64.1835,-51.7216,23.88,100,59,18.01,broken clouds,2022-04-14 02:57:30
67,East London,ZA,-33.0153,27.9116,67.26,86,100,9.26,overcast clouds,2022-04-14 02:53:06
68,Yumen,CN,40.2833,97.2,54.75,6,98,8.08,overcast clouds,2022-04-14 02:57:31
69,Narsaq,GL,60.9167,-46.05,35.2,60,100,4.61,overcast clouds,2022-04-14 02:57:31
70,Adrar,MR,20.5022,-10.0711,69.51,29,0,10.54,clear sky,2022-04-14 02:57:32
71,Majene,ID,-3.5403,118.9707,84.47,73,54,4.88,broken clouds,2022-04-14 02:57:32
72,Kulykiv,UA,50.3142,24.8176,38.48,76,4,0.43,clear sky,2022-04-14 02:57:32
73,Tasiilaq,GL,65.6145,-37.6368,24.58,89,100,6.51,overcast clouds,2022-04-14 02:54:22
74,Severo-Kurilsk,RU,50.6789,156.125,30.85,73,90,27.36,overcast clouds,2022-04-14 02:57:33
75,Constitucion,CL,-35.3333,-72.4167,55.89,52,0,6.31,clear sky,2022-04-14 02:57:33
76,Batsfjord,NO,70.6345,29.7185,22.78,79,40,4.61,scattered clouds,2022-04-14 02:57:34
77,Sisimiut,GL,66.9395,-53.6735,14.02,84,44,16.2,scattered clouds,2022-04-14 02:57:34
78,Sinjar,IQ,36.3209,41.8754,46.62,30,2,7.38,clear sky,2022-04-14 02:57:34
79,Sao Filipe,CV,14.8961,-24.4956,70.77,75,76,8.41,broken clouds,2022-04-14 02:57:35
80,Kirakira,SB,-10.4544,161.9205,85.23,71,19,8.61,few clouds,2022-04-14 02:57:35
81,Bluff,NZ,-46.6,168.3333,60.8,77,75,20.27,broken clouds,2022-04-14 02:54:32
82,Albany,US,42.6001,-73.9662,63.03,75,92,1.01,overcast clouds,2022-04-14 02:55:30
83,Khatanga,RU,71.9667,102.5,7.9,90,100,8.66,overcast clouds,2022-04-14 02:57:36
84,Georgetown,MY,5.4112,100.3354,87.73,74,20,5.01,few clouds,2022-04-14 02:56:57
85,Tuatapere,NZ,-46.1333,167.6833,62.11,61,43,6.29,scattered clouds,2022-04-14 02:57:36
86,Virginia Beach,US,36.8529,-75.978,74.01,67,94,5.01,overcast clouds,2022-04-14 02:57:37
87,Atasu,KZ,48.6814,71.6433,53.62,40,0,8.05,clear sky,2022-04-14 02:57:37
88,Barrow,US,71.2906,-156.7887,-0.42,92,22,10.6,few clouds,2022-04-14 02:57:38
89,Malakal,SS,9.5334,31.6605,82.71,49,14,3.27,few clouds,2022-04-14 02:57:38
90,Arraial Do Cabo,BR,-22.9661,-42.0278,77.07,88,96,10.2,overcast clouds,2022-04-14 02:57:39
91,Bilibino,RU,68.0546,166.4372,26.11,75,100,5.01,overcast clouds,2022-04-14 02:57:39
92,Honiara,SB,-9.4333,159.95,85.77,70,21,5.84,few clouds,2022-04-14 02:57:39
93,Mar Del Plata,AR,-38.0023,-57.5575,58.87,76,0,8.01,clear sky,2022-04-14 02:55:02
94,Bambous Virieux,MU,-20.3428,57.7575,78.22,88,75,14.97,light rain,2022-04-14 02:54:13
95,Ribeira Grande,PT,38.5167,-28.7,59.2,65,0,12.62,clear sky,2022-04-14 02:54:28
96,New Norfolk,AU,-42.7826,147.0587,65.71,48,100,3.0,light rain,2022-04-14 02:55:53
97,Port-Gentil,GA,-0.7193,8.7815,79.93,83,100,5.48,light rain,2022-04-14 02:57:40
98,Hilo,US,19.7297,-155.09,82.27,85,75,11.5,light rain,2022-04-14 02:57:41
99,Namibe,AO,-15.1961,12.1522,76.68,82,0,2.26,clear sky,2022-04-14 02:54:19
100,Busselton,AU,-33.65,115.3333,68.31,45,0,6.35,clear sky,2022-04-14 02:57:41
101,Hithadhoo,MV,-0.6,73.0833,83.84,74,100,9.37,overcast clouds,2022-04-14 02:57:42
102,Hamilton,US,39.1834,-84.5333,62.26,95,100,10.36,heavy intensity rain,2022-04-14 02:54:34
103,Puerto Carreno,CO,6.189,-67.4859,82.96,62,38,3.13,scattered clouds,2022-04-14 02:57:42
104,Kodiak,US,57.79,-152.4072,40.84,64,100,11.86,overcast clouds,2022-04-14 02:55:48
105,Verkhoyansk,RU,67.5447,133.385,16.83,80,100,2.71,overcast clouds,2022-04-14 02:57:42
106,Makurdi,NG,7.7411,8.5121,79.14,80,97,8.66,light rain,2022-04-14 02:57:43
107,Masvingo,ZW,-20.0637,30.8277,64.0,82,26,5.1,scattered clouds,2022-04-14 02:57:43
108,Bereda,ES,43.2686,-7.5406,47.57,100,100,1.21,overcast clouds,2022-04-14 02:57:44
109,Chengam,IN,12.3,78.8,84.54,64,90,0.81,overcast clouds,2022-04-14 02:57:44
110,Shubarkuduk,KZ,49.1447,56.4872,57.96,63,13,18.3,few clouds,2022-04-14 02:57:44
111,Norman Wells,CA,65.282,-126.8329,23.04,74,100,14.97,light snow,2022-04-14 02:57:45
112,Vestmannaeyjar,IS,63.4427,-20.2734,45.79,90,100,35.81,overcast clouds,2022-04-14 02:57:45
113,Havelock,US,34.8791,-76.9013,70.02,89,72,5.99,broken clouds,2022-04-14 02:57:46
114,Sinnamary,GF,5.3833,-52.95,76.66,87,96,12.5,overcast clouds,2022-04-14 02:57:46
115,Carauari,BR,-4.8828,-66.8958,74.52,94,100,0.58,moderate rain,2022-04-14 02:57:46
116,Coxim,BR,-18.5067,-54.76,72.01,90,100,3.24,light rain,2022-04-14 02:57:47
117,Dicabisagan,PH,17.0818,122.4157,84.34,66,36,4.16,scattered clouds,2022-04-14 02:57:47
118,Leningradskiy,RU,69.3833,178.4167,8.38,91,95,14.12,overcast clouds,2022-04-14 02:57:48
119,Jalu,LY,29.0331,21.5482,63.54,28,82,12.93,broken clouds,2022-04-14 02:57:48
120,Merauke,ID,-8.4667,140.3333,85.42,71,93,8.68,overcast clouds,2022-04-14 02:55:06
121,Fairbanks,US,64.8378,-147.7164,43.21,38,0,0.0,clear sky,2022-04-14 02:57:49
122,Ostrovnoy,RU,68.0531,39.5131,12.27,96,91,7.16,overcast clouds,2022-04-14 02:57:49
123,Codrington,AU,-38.2667,141.9667,72.36,36,100,9.75,overcast clouds,2022-04-14 02:57:49
124,Muroto,JP,33.2833,134.15,65.71,90,93,11.39,overcast clouds,2022-04-14 02:57:50
125,Nokaneng,BW,-19.6667,22.2667,71.19,44,100,5.46,overcast clouds,2022-04-14 02:57:51
126,Cape Town,ZA,-33.9258,18.4232,64.11,84,0,18.41,clear sky,2022-04-14 02:53:07
